43;11;11;11;11;11;11;11;11;11;11;11;11;40;39;11;11;11;11;11;11;11;11;11;11;11;11;42
04;00;00;00;00;00;00;00;00;00;00;00;00;22;21;00;00;00;00;00;00;00;00;00;00;00;00;03
04;00;20;13;13;19;00;20;13;13;13;19;00;22;21;00;20;13;13;13;19;00;20;13;13;19;00;03
04;00;22;44;44;21;00;22;44;44;44;21;00;22;21;00;22;44;44;44;21;00;22;44;44;21;00;03
04;00;24;18;18;23;00;24;18;18;18;23;00;24;23;00;24;18;18;18;23;00;24;18;18;23;00;03
04;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;03
04;00;20;13;13;19;00;20;19;00;20;13;13;13;13;13;13;19;00;20;19;00;20;13;13;19;00;03
04;00;24;18;18;23;00;22;21;00;24;18;18;32;31;18;18;23;00;22;21;00;24;18;18;23;00;03
04;00;00;00;00;00;00;22;21;00;00;00;00;22;21;00;00;00;00;22;21;00;00;00;00;00;00;03
06;12;12;12;12;19;00;22;33;13;13;19;00;22;21;00;20;13;13;34;21;00;20;12;12;12;12;05
44;44;44;44;44;04;00;22;31;18;18;23;00;24;23;00;24;18;18;32;21;00;03;44;44;44;44;44
44;44;44;44;44;04;00;22;21;00;00;00;00;00;00;00;00;00;00;22;21;00;03;44;44;44;44;44
44;44;44;44;44;04;00;22;21;00;26;12;30;41;41;29;12;25;00;22;21;00;03;44;44;44;44;44
11;11;11;11;11;23;00;24;23;00;03;44;44;44;44;44;44;04;00;24;23;00;24;11;11;11;11;11
00;00;00;00;00;00;00;00;00;00;03;44;44;44;44;44;44;04;00;00;00;00;00;00;00;00;00;00
12;12;12;12;12;19;00;20;19;00;03;44;44;44;44;44;44;04;00;20;19;00;20;12;12;12;12;12
44;44;44;44;44;04;00;22;21;00;28;11;11;11;11;11;11;27;00;22;21;00;03;44;44;44;44;44
44;44;44;44;44;04;00;22;21;01;00;00;00;00;00;00;00;00;02;22;21;00;03;44;44;44;44;44
44;44;44;44;44;04;00;22;21;00;20;13;13;13;13;13;13;19;00;22;21;00;03;44;44;44;44;44
43;11;11;11;11;23;00;24;23;00;24;18;18;32;31;18;18;23;00;24;23;00;24;11;11;11;11;42
04;00;00;00;00;00;00;00;00;00;00;00;00;22;21;00;00;00;00;00;00;00;00;00;00;00;00;03
04;00;20;13;13;19;00;20;13;13;13;19;00;22;21;00;20;13;13;13;19;00;20;13;13;19;00;03
04;00;24;18;32;21;00;24;18;18;18;23;00;24;23;00;24;18;18;18;23;00;22;31;18;23;00;03
04;00;00;00;22;21;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;22;21;00;00;00;03
08;13;19;00;22;21;00;20;19;00;20;13;13;13;13;13;13;19;00;20;19;00;22;21;00;20;13;07
10;18;23;00;24;23;00;22;21;00;24;18;18;32;31;18;18;23;00;22;21;00;24;23;00;24;18;09
04;00;00;00;00;00;00;22;21;00;00;00;00;22;21;00;00;00;00;22;21;00;00;00;00;00;00;03
04;00;20;13;13;13;13;34;33;13;13;19;00;22;21;00;20;13;13;34;33;13;13;13;13;19;00;03
04;00;24;18;18;18;18;18;18;18;18;23;00;24;23;00;24;18;18;18;18;18;18;18;18;23;00;03
04;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;03
06;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;05
