43;11;11;11;11;11;11;11;11;11;11;11;11;40;39;11;11;11;11;11;11;11;11;11;11;11;11;40;39;11;11;11;11;11;11;11;11;11;11;11;11;40;39;11;11;11;11;11;11;11;11;11;11;11;11;42
04;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;03
04;01;20;13;13;19;01;20;13;13;13;19;01;22;21;01;20;13;13;13;19;01;20;13;13;19;01;22;21;01;20;13;13;19;01;20;13;13;13;19;01;22;21;01;20;13;13;13;19;01;20;13;13;19;01;03
04;02;22;44;44;21;01;22;44;44;44;21;01;22;21;01;22;44;44;44;21;01;22;44;44;21;02;22;21;02;22;44;44;21;01;22;44;44;44;21;01;22;21;01;22;44;44;44;21;01;22;44;44;21;02;03
04;01;24;18;18;23;01;24;18;18;18;23;01;24;23;01;24;18;18;18;23;01;24;18;18;23;01;22;21;01;24;18;18;23;01;24;18;18;18;23;01;24;23;01;24;18;18;18;23;01;24;18;18;23;01;03
04;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;03
04;01;20;13;13;19;01;20;19;01;20;13;13;13;13;13;13;19;01;20;19;01;20;13;13;19;01;22;21;01;20;13;13;19;01;20;19;01;20;13;13;13;13;13;13;19;01;20;19;01;20;13;13;19;01;03
04;01;24;18;18;23;01;22;21;01;24;18;18;32;31;18;18;23;01;22;21;01;24;18;18;23;01;22;21;01;24;18;18;23;01;22;21;01;24;18;18;32;31;18;18;23;01;22;21;01;24;18;18;23;01;03
04;01;01;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;01;01;22;21;01;01;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;01;01;03
06;12;12;12;12;19;01;22;33;13;13;19;00;22;21;00;20;13;13;34;21;01;20;13;13;13;13;34;33;13;13;13;13;19;01;22;33;13;13;19;00;22;21;00;20;13;13;34;21;01;20;12;12;12;12;05
44;44;44;44;44;04;01;22;31;18;18;23;00;24;23;00;24;18;18;32;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;31;18;18;23;00;24;23;00;24;18;18;32;21;01;03;44;44;44;44;44
44;44;44;44;44;04;01;22;21;00;00;00;00;00;00;00;00;00;00;22;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;21;00;00;00;00;00;00;00;00;00;00;22;21;01;03;44;44;44;44;44
44;44;44;44;44;04;01;22;21;00;26;12;30;41;41;29;12;25;00;22;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;21;00;26;12;30;41;41;29;12;25;00;22;21;01;03;44;44;44;44;44
11;11;11;11;11;23;01;24;23;00;03;44;44;44;44;44;44;04;00;24;23;01;24;18;18;18;18;18;18;18;18;18;18;23;01;24;23;00;03;44;44;44;44;44;44;04;00;24;23;01;24;11;11;11;11;11
00;00;00;00;00;00;01;00;00;00;03;44;44;44;44;44;44;04;00;00;00;01;00;00;00;00;00;00;00;00;00;00;00;00;01;00;00;00;03;44;44;44;44;44;44;04;00;00;00;01;00;00;00;00;00;00
12;12;12;12;12;19;01;20;19;00;03;44;44;44;44;44;44;04;00;20;19;01;20;13;13;13;13;13;13;13;13;13;13;19;01;20;19;00;03;44;44;44;44;44;44;04;00;20;19;01;20;12;12;12;12;12
44;44;44;44;44;04;01;22;21;00;28;11;11;11;11;11;11;27;00;22;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;21;00;28;11;11;11;11;11;11;27;00;22;21;01;03;44;44;44;44;44
44;44;44;44;44;04;01;22;21;00;00;00;00;00;00;00;00;00;00;22;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;21;00;00;00;00;00;00;00;00;00;00;22;21;01;03;44;44;44;44;44
